date,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,label
2019-01-02,2510.030029296875,23.21999931335449,20014.76953125,6734.2001953125,1281.0,46.540000915527344,1.14617121219635,109.66799926757812,6.877500057220459,
2019-01-03,2447.889892578125,25.450000762939453,20014.76953125,6692.7001953125,1291.800048828125,47.09000015258789,1.1318106651306152,107.44100189208984,6.861100196838379,
2019-01-04,2531.93994140625,21.3799991607666,19561.9609375,6837.39990234375,1282.699951171875,47.959999084472656,1.1391078233718872,107.80799865722656,6.871099948883057,
2019-01-07,2549.68994140625,21.399999618530277,20038.970703125,6810.89990234375,1286.800048828125,48.52000045776367,1.1410444974899292,108.52200317382812,6.868400096893311,
2019-01-08,2574.409912109375,20.46999931335449,20204.0390625,6861.60009765625,1283.199951171875,49.77999877929688,1.1479737758636477,108.61599731445312,6.849999904632568,
2019-01-09,2584.9599609375,19.979999542236328,20427.060546875,6906.60009765625,1289.300048828125,52.36000061035156,1.1456066370010376,108.7760009765625,6.852200031280518,
2019-01-10,2596.639892578125,19.5,20163.80078125,6942.89990234375,1284.699951171875,52.59000015258789,1.1554949283599854,108.18900299072266,6.815599918365479,
2019-01-11,2596.260009765625,18.190000534057617,20359.69921875,6918.2001953125,1287.0999755859375,51.59000015258789,1.151012897491455,108.2979965209961,6.787499904632568,
2019-01-14,2582.610107421875,19.06999969482422,20359.69921875,6855.0,1289.0999755859375,50.5099983215332,1.146013617515564,108.45800018310548,6.76200008392334,
2019-01-15,2610.300048828125,18.600000381469727,20555.2890625,6895.0,1286.199951171875,52.11000061035156,1.1472889184951782,108.25,6.767099857330322,
2019-01-16,2616.10009765625,19.040000915527344,20442.75,6862.7001953125,1291.5999755859375,52.310001373291016,1.1416828632354736,108.6439971923828,6.750999927520752,
2019-01-17,2635.9599609375,18.059999465942383,20402.26953125,6834.89990234375,1291.0,52.06999969482422,1.1398088932037354,109.03700256347656,6.75600004196167,
2019-01-18,2670.7099609375,17.799999237060547,20666.0703125,6968.2998046875,1281.300048828125,53.79999923706055,1.13926362991333,109.15299987792967,6.775400161743164,
2019-01-22,2632.89990234375,20.799999237060547,20622.91015625,6901.39990234375,1282.5,52.56999969482422,1.136932134628296,109.66999816894533,6.797299861907959,
2019-01-23,2638.699951171875,19.520000457763672,20593.720703125,6842.89990234375,1283.0999755859375,52.619998931884766,1.1364023685455322,109.3550033569336,6.807000160217285,
2019-01-24,2642.330078125,18.88999938964844,20574.630859375,6819.0,1279.0999755859375,53.130001068115234,1.1388224363327026,109.49199676513672,6.790999889373779,
2019-01-25,2664.760009765625,17.420000076293945,20773.560546875,6809.2001953125,1297.4000244140625,53.68999862670898,1.1313496828079224,109.59700012207033,6.787600040435791,
2019-01-28,2643.85009765625,18.8700008392334,20649.0,6747.10009765625,1302.4000244140625,51.9900016784668,1.1413049697875977,109.4000015258789,6.746399879455566,
2019-01-29,2640.0,19.1299991607666,20664.640625,6833.89990234375,1308.199951171875,53.310001373291016,1.143000841140747,109.25399780273438,6.74429988861084,
2019-01-30,2681.050048828125,17.65999984741211,20556.5390625,6941.60009765625,1309.9000244140625,54.22999954223633,1.1435366868972778,109.41699981689452,6.73199987411499,
2019-01-31,2704.10009765625,16.56999969482422,20773.490234375,6968.89990234375,1319.699951171875,53.790000915527344,1.1487650871276855,108.9810028076172,6.715499877929688,
2019-02-01,2706.530029296875,16.139999389648438,20788.390625,7020.2001953125,1316.9000244140625,55.2599983215332,1.1449507474899292,108.84400177001952,6.69980001449585,
